iter	Passed	Remaining
653	1238	655
654	1239	652
655	1240	650
656	1242	648
657	1243	646
658	1244	644
659	1246	641
660	1249	640
661	1254	640
662	1256	638
663	1257	636
664	1267	638
665	1269	636
666	1271	634
667	1273	632
668	1274	630
669	1276	628
670	1278	626
671	1282	626
672	1284	624
673	1285	621
674	1287	619
675	1288	617
676	1290	615
677	1292	613
678	1293	611
679	1298	611
680	1309	613
681	1313	612
682	1315	610
683	1316	608
684	1318	606
685	1319	604
686	1321	601
687	1322	599
688	1324	597
689	1325	595
690	1328	594
691	1330	592
692	1332	590
693	1333	588
694	1339	587
695	1341	585
696	1345	585
697	1347	583
698	1364	587
699	1366	585
700	1369	584
701	1370	581
702	1372	579
703	1373	577
704	1400	585
705	1402	584
706	1405	582
707	1406	580
708	1410	578
709	1412	576
710	1413	574
711	1415	572
712	1416	570
713	1418	568
714	1421	566
715	1423	564
716	1424	562
717	1426	560
718	1427	557
719	1429	555
720	1432	554
721	1433	552
722	1437	550
723	1439	548
724	1440	546
725	1442	544
726	1443	542
727	1445	539
728	1448	538
729	1455	538
730	1456	536
731	1458	533
732	1459	531
733	1461	529
734	1466	528
735	1468	526
736	1469	524
737	1471	522
738	1489	526
739	1491	523
740	1500	524
741	1502	522
742	1503	520
743	1512	520
744	1513	518
745	1515	516
746	1517	514
747	1522	512
748	1524	510
749	1525	508
750	1527	506
751	1554	512
752	1555	510
753	1559	508
754	1561	506
755	1563	504
756	1565	502
757	1566	500
758	1568	498
759	1569	495
760	1570	493
761	1572	491
762	1574	489
763	1575	486
764	1577	484
765	1579	482
766	1580	480
767	1581	477
768	1582	475
769	1584	473
770	1586	471
771	1589	469
772	1591	467
773	1592	465
774	1594	462
775	1595	460
776	1596	458
777	1597	455
778	1598	453
779	1600	451
780	1601	448
781	1602	446
782	1604	444
783	1605	442
784	1607	440
785	1608	437
786	1609	435
787	1610	433
788	1611	430
789	1612	428
790	1613	426
791	1614	424
792	1615	421
793	1618	419
794	1619	417
795	1620	415
796	1622	413
797	1623	410
798	1624	408
799	1625	406
800	1626	404
801	1627	401
802	1628	399
803	1629	397
804	1631	395
805	1633	393
806	1634	390
807	1636	388
808	1637	386
809	1638	384
810	1640	382
811	1642	380
812	1644	378
813	1645	375
814	1646	373
815	1648	371
816	1650	369
817	1651	367
818	1652	365
819	1654	363
820	1655	360
821	1656	358
822	1657	356
823	1658	354
824	1659	352
825	1660	349
826	1662	347
827	1664	345
828	1665	343
829	1666	341
830	1668	339
831	1669	337
832	1670	334
833	1671	332
834	1672	330
835	1673	328
836	1674	326
837	1675	323
838	1677	321
839	1679	319
840	1680	317
841	1682	315
842	1683	313
843	1684	311
844	1686	309
845	1687	307
846	1688	304
847	1689	302
848	1690	300
849	1692	298
850	1693	296
851	1694	294
852	1696	292
853	1697	290
854	1698	287
855	1699	285
856	1700	283
857	1701	281
858	1702	279
859	1703	277
860	1704	275
861	1709	273
862	1711	271
863	1712	269
864	1713	267
865	1714	265
866	1715	263
867	1716	261
